# x, y, theta, s
8.63198, 48.7157, -0.27691, 116.4
8.9181, 48.6252, -0.335924, 116.7
9.19841, 48.5181, -0.394084, 117
9.4721, 48.395, -0.4511, 117.3
9.73841, 48.2566, -0.506626, 117.6
9.99677, 48.104, -0.560543, 117.9
10.2467, 47.9378, -0.612595, 118.2
10.4877, 47.7592, -0.662768, 118.5
10.7197, 47.5688, -0.710931, 118.8
10.9425, 47.3678, -0.757127, 119.1
11.156, 47.1569, -0.801331, 119.4
11.3601, 46.9369, -0.843612, 119.7
11.555, 46.7088, -0.884027, 120
11.7407, 46.4731, -0.922646, 120.3
11.9173, 46.2305, -0.959557, 120.6
12.0851, 45.9818, -0.994828, 120.9
12.2443, 45.7274, -1.02862, 121.2
12.3949, 45.4679, -1.06099, 121.5
12.5372, 45.2038, -1.09193, 121.8
12.6715, 44.9354, -1.12143, 122.1
12.798, 44.6634, -1.14919, 122.4
12.9172, 44.388, -1.17487, 122.7
13.0296, 44.1098, -1.19858, 123
13.1356, 43.8292, -1.22059, 123.3
13.2356, 43.5463, -1.24094, 123.6
13.3301, 43.2615, -1.2598, 123.9
13.4194, 42.9751, -1.27725, 124.2
13.5038, 42.6872, -1.29336, 124.5
13.5838, 42.3981, -1.30831, 124.8
13.6596, 42.1078, -1.32212, 125.1
13.7316, 41.8165, -1.3349, 125.4
13.8, 41.5244, -1.34675, 125.7
13.865, 41.2315, -1.35768, 126
13.9269, 40.938, -1.36781, 126.3
13.986, 40.6439, -1.37719, 126.6
14.0425, 40.3492, -1.38584, 126.9
14.0964, 40.0541, -1.39385, 127.2
14.1481, 39.7586, -1.40125, 127.5
14.1977, 39.4627, -1.40806, 127.8
14.2454, 39.1665, -1.41436, 128.1
14.2913, 38.87, -1.42016, 128.4
14.3355, 38.5733, -1.42548, 128.7
14.3782, 38.2764, -1.43037, 129
14.4195, 37.9792, -1.43486, 129.3
14.4595, 37.6819, -1.43894, 129.6
14.4984, 37.3844, -1.44267, 129.9
14.5362, 37.0868, -1.44606, 130.2
14.5731, 36.7891, -1.44912, 130.5
14.6091, 36.4912, -1.45187, 130.8
14.6443, 36.1933, -1.45434, 131.1
14.6788, 35.8953, -1.45654, 131.4
14.7127, 35.5972, -1.45846, 131.7
14.7461, 35.2991, -1.46014, 132
14.779, 35.0009, -1.4616, 132.3
14.8115, 34.7027, -1.46282, 132.6
14.8437, 34.4044, -1.46382, 132.9
14.8756, 34.1061, -1.46463, 133.2
14.9073, 33.8078, -1.46524, 133.5
14.9389, 33.5094, -1.46566, 133.8
14.9703, 33.2111, -1.4659, 134.1
15.0017, 32.9127, -1.46597, 134.4
15.0331, 32.6144, -1.46588, 134.7
15.0645, 32.316, -1.46563, 135
15.0961, 32.0177, -1.46522, 135.3
15.1278, 31.7194, -1.46467, 135.6
15.1597, 31.4211, -1.46397, 135.9
15.1918, 31.1228, -1.46314, 136.2
15.2241, 30.8246, -1.46218, 136.5
15.2568, 30.5263, -1.46111, 136.8
15.2898, 30.2282, -1.45992, 137.1
15.3232, 29.93, -1.45861, 137.4
15.357, 29.6319, -1.45714, 137.7
15.3913, 29.3339, -1.45554, 138
15.426, 29.0359, -1.45379, 138.3
15.4613, 28.738, -1.4521, 138.6
15.4971, 28.4401, -1.45068, 138.9
15.5332, 28.1423, -1.44954, 139.2
15.5696, 27.8445, -1.44868, 139.5
15.6063, 27.5468, -1.4481, 139.8
15.643, 27.2491, -1.44782, 140.1
15.6798, 26.9513, -1.44784, 140.4
15.7166, 26.6536, -1.44817, 140.7
15.7532, 26.3558, -1.44879, 141
15.7896, 26.058, -1.44965, 141.3
15.8257, 25.7602, -1.45076, 141.6
15.8614, 25.4623, -1.45211, 141.9
15.8967, 25.1644, -1.4537, 142.2
15.9315, 24.8665, -1.45551, 142.5
15.9657, 24.5684, -1.45753, 142.8
15.9993, 24.2703, -1.45976, 143.1
16.0322, 23.9721, -1.46219, 143.4
16.0643, 23.6738, -1.46481, 143.7
16.0956, 23.3755, -1.46761, 144
16.1261, 23.077, -1.47057, 144.3
16.1556, 22.7785, -1.47371, 144.6
16.1842, 22.4798, -1.477, 144.9
16.2118, 22.1811, -1.48044, 145.2
16.2383, 21.8823, -1.48401, 145.5
16.2638, 21.5834, -1.48772, 145.8
16.2881, 21.2843, -1.49156, 146.1
16.3113, 20.9852, -1.49552, 146.4
16.3332, 20.686, -1.49958, 146.7
16.354, 20.3867, -1.50375, 147
16.3734, 20.0874, -1.50802, 147.3
16.3916, 19.7879, -1.51239, 147.6
16.4084, 19.4884, -1.51684, 147.9
16.4239, 19.1888, -1.52136, 148.2
