# x, y, z, theta, kappa, s, qx, qy, qz, qw
-8.67568, 8.32233, -0.0237454, 2.15576, -0.0269962, 67.5599, 0.0385685, 0.104608, 0.873873, 0.473198
-9.03121, 8.86636, -0.0497179, 2.1382, -0.0358137, 68.1599, 0.0717632, 0.0533903, 0.872195, 0.480912
-9.37763, 9.41735, -0.0487904, 2.11489, -0.0432196, 68.7599, 0.0706207, 0.0366401, 0.867462, 0.4911
-9.71077, 9.97573, -0.0459811, 2.08679, -0.0492335, 69.3599, 0.0785229, 0.0137677, 0.860432, 0.503291
-10.0272, 10.5417, 0.00449998, 2.05486, -0.0539027, 69.9599, 0.0796861, 0.0126766, 0.852162, 0.51702
-10.3242, 11.1151, 0.00271618, 2.02005, -0.0573156, 70.5599, 0.0825285, 0.0268471, 0.842386, 0.531841
-10.5998, 11.6958, 0.0176917, 1.9832, -0.0595837, 71.1599, 0.0925473, 0.0132201, 0.831664, 0.547353
-10.8525, 12.2835, 0.0302773, 1.94507, -0.0608391, 71.7599, 0.0823573, 0.00129126, 0.822199, 0.563209
-11.0817, 12.8776, 0.0627542, 1.9063, -0.0612216, 72.3599, 0.107919, -0.0102515, 0.808005, 0.579117
-11.2867, 13.4776, 0.105463, 1.86745, -0.0608694, 72.9599, 0.105283, -0.00953956, 0.796859, 0.594845
-11.4676, 14.0829, 0.138423, 1.82894, -0.0599177, 73.5599, 0.0998496, -0.00290876, 0.785918, 0.610209
-11.6246, 14.6931, 0.15082, 1.79113, -0.0584865, 74.1599, 0.100167, 0.000985909, 0.774109, 0.625076
-11.7581, 15.3074, 0.174555, 1.7543, -0.0566909, 74.7599, 0.0949016, -0.00995309, 0.762975, 0.639346
-11.8686, 15.9253, 0.202212, 1.71862, -0.0546264, 75.3599, 0.0867522, -0.0174096, 0.752207, 0.652959
-11.9569, 16.5463, 0.220792, 1.68426, -0.0523802, 75.9599, 0.0656408, -0.0207241, 0.742882, 0.665874
-12.0238, 17.1698, 0.202399, 1.65131, -0.0500246, 76.5599, -0.0377687, -0.0473504, 0.732491, 0.678077
-12.07, 17.7953, 0.192589, 1.61979, -0.0476161, 77.1599, -0.0644809, 0.0158362, 0.721166, 0.689573
-12.0964, 18.4223, 0.228421, 1.58977, -0.0452126, 77.7599, 0.0129129, -0.0512794, 0.71182, 0.700368
-12.1038, 19.0504, 0.267423, 1.56122, -0.0428437, 78.3599, -0.0366701, -0.0777186, 0.698445, 0.710485
-12.0933, 19.6791, 0.362813, 1.53415, -0.0405906, 78.9599, -0.100092, -0.0294728, 0.686144, 0.719944
-12.0656, 20.3077, 0.330428, 1.50853, -0.0383264, 79.5599, -0.0587235, 0.138861, 0.66795, 0.728775
-12.0218, 20.9358, 0.128436, 1.48433, -0.0366512, 80.1599, 0.0332728, 0.126549, 0.663097, 0.737008
-11.9627, 21.5631, 0.0844095, 1.46116, -0.0333474, 80.7599, 0.0778237, 0.0152338, 0.662574, 0.744787
-11.889, 22.1891, 0.0947151, 1.44009, -0.0466679, 81.3599, 0.0844869, -0.015734, 0.653793, 0.751777
-11.802, 22.8137, 0.0955568, 1.41061, -0.0599888, 81.9599, 0.0750614, -0.00911367, 0.643843, 0.761413
-11.6967, 23.4355, 0.0899414, 1.37274, -0.0693444, 82.5599, 0.0656487, -0.00609755, 0.630294, 0.773552
-11.5678, 24.0531, 0.0868711, 1.32896, -0.076068, 83.1599, 0.0644406, -0.00767651, 0.613226, 0.787237
-11.4118, 24.665, 0.0842219, 1.2809, -0.0804065, 83.7599, 0.0734275, -0.0153979, 0.592827, 0.801828
-11.2264, 25.2695, 0.0739931, 1.23003, -0.0823392, 84.3599, 0.061536, -0.0156553, 0.573464, 0.816766
-11.0099, 25.8652, 0.0746482, 1.17781, -0.0839881, 84.9599, 0.0505332, -0.0432789, 0.551451, 0.83155
-10.7618, 26.4505, 0.128559, 1.12437, -0.0719774, 85.5599, 0.0363442, -0.0913306, 0.523896, 0.846091
-10.4816, 27.0242, 0.231671, 1.0784, -0.0585688, 86.1599, 0.0354261, -0.103908, 0.501578, 0.858119
-10.1743, 27.5862, 0.323418, 1.04088, -0.0469436, 86.7599, 0.0587465, -0.089342, 0.48563, 0.8676
-9.8456, 28.1372, 0.368702, 1.01078, -0.0362588, 87.3599, 0.060671, -0.0898786, 0.471849, 0.874985
-9.50055, 28.6779, 0.440432, 0.987573, -0.0267807, 87.9599, 0.0626866, -0.103034, 0.458362, 0.880545
-9.14385, 29.2094, 0.514282, 0.970497, -0.0184457, 88.5599, 0.0658031, -0.100095, 0.450784, 0.884559
-8.77958, 29.7327, 0.569835, 0.958832, -0.011271, 89.1599, 0.0563086, -0.109481, 0.444528, 0.887264
-8.41125, 30.2491, 0.667524, 0.951797, -0.00522869, 89.7599, 0.0331817, -0.100769, 0.445684, 0.888881
-8.04174, 30.7597, 0.741711, 0.948632, -0.000283978, 90.3599, 0.0414798, -0.0670252, 0.449877, 0.889605
-7.6733, 31.2656, 0.731958, 0.948606, 0.00362038, 90.9599, 0.0774246, -0.0651912, 0.445362, 0.889611
-7.30764, 31.768, 0.759358, 0.951012, 0.00654635, 91.5599, 0.0681594, -0.0742511, 0.446555, 0.889061
-6.94594, 32.2676, 0.775257, 0.955219, 0.00862136, 92.1599, 0.0605864, -0.0512631, 0.452754, 0.888096
-6.58894, 32.7654, 0.784111, 0.960675, 0.00975533, 92.7599, 0.0497335, -0.0396304, 0.457682, 0.886839
-6.23706, 33.262, 0.788327, 0.966791, 0.0107198, 93.3599, 0.0577671, -0.0240834, 0.460555, 0.885422
-5.89034, 33.758, 0.756718, 0.973459, 0.00905974, 93.9599, 0.0533814, -0.014223, 0.464464, 0.883867
-5.54881, 34.2538, 0.742533, 0.979095, 0.0256072, 94.5599, 0.0298603, -0.0228931, 0.468719, 0.882546
-5.21159, 34.7495, 0.762547, 0.994648, 0.0408603, 95.1599, 0.0209346, -0.0369685, 0.47518, 0.878862
-4.88383, 35.248, 0.797614, 1.01914, 0.0525811, 95.7599, 0.0205434, -0.027549, 0.486588, 0.872955
-4.56994, 35.7519, 0.794373, 1.05039, 0.0443262, 96.3599, 0.042384, -0.00652279, 0.499546, 0.865225
-4.27304, 36.2636, 0.768809, 1.07658, 0.0333438, 96.9599, 0.0440931, -0.0126469, 0.510614, 0.858586
-3.99005, 36.782, 0.767322, 1.09624, 0.0239678, 97.5599, 0.0328721, -0.0198071, 0.519666, 0.853507
-3.71727, 37.306, 0.76726, 1.11031, 0.0150672, 98.1599, 0.0301901, -0.0157101, 0.525975, 0.849819
-3.4516, 37.8341, 0.7709, 1.11912, 0.00694022, 98.7599, 0.0227722, -0.0152188, 0.530105, 0.847489
-3.19016, 38.3653, 0.774487, 1.12309, -0.000512699, 99.3599, 0.0185337, -0.0150998, 0.531959, 0.846432
-2.93035, 38.8983, 0.774454, 1.12262, -0.00729926, 99.9599, -0.00319201, -0.0117706, 0.532155, 0.846559
-2.66978, 39.432, 0.790358, 1.1181, -0.0134779, 100.56, -0.0129117, -0.0104078, 0.53012, 0.84776
-2.40631, 39.9651, 0.816636, 1.10984, -0.0190888, 101.16, -0.00343488, -0.00965624, 0.526774, 0.849943
-2.138, 40.4966, 0.813772, 1.09821, -0.0242155, 101.76, 0.0281148, -0.00200145, 0.521164, 0.852991
-1.8631, 41.0254, 0.799368, 1.08347, -0.0289277, 102.36, 0.0370665, -0.00976961, 0.514195, 0.856816
-1.58003, 41.5504, 0.790649, 1.06585, -0.0333125, 102.96, 0.0573204, -0.0129756, 0.504643, 0.861326
-1.28738, 42.0705, 0.769011, 1.04556, -0.0375295, 103.56, 0.0714714, -0.00893664, 0.494068, 0.866434
-0.983879, 42.5846, 0.724346, 1.02264, -0.0415213, 104.16, 0.0701958, 0.00092837, 0.484265, 0.872101
-0.668297, 43.0917, 0.661105, 0.997288, -0.0461037, 104.76, 0.0598607, 0.0183727, 0.474118, 0.878232
-0.339571, 43.5905, 0.606825, 0.96908, -0.0490531, 105.36, 0.0415712, 0.015844, 0.463672, 0.884889
0.00350104, 44.0796, 0.563327, 0.93896, -0.0707293, 105.96, 0.0409766, 0.0237241, 0.449938, 0.891804
0.361628, 44.558, 0.500873, 0.895809, -0.0941001, 106.56, 0.0429911, 0.0220657, 0.430373, 0.901357
0.74036, 45.0199, 0.437131, 0.838476, -0.114785, 107.16, 0.0451562, 0.0259001, 0.403722, 0.913399
1.14517, 45.4585, 0.360162, 0.768589, -0.134617, 107.76, 0.0380075, 0.0182882, 0.372525, 0.927063
1.58006, 45.867, 0.308039, 0.686651, -0.153958, 108.36, 0.0289361, 0.00494091, 0.335338, 0.94164
2.04783, 46.2377, 0.261139, 0.592602, -0.173577, 108.96, 0.0249388, -0.00661552, 0.290842, 0.956423
2.54994, 46.5621, 0.229211, 0.485898, -0.194005, 109.56, 0.018537, -0.00602111, 0.239775, 0.970633
3.08607, 46.8301, 0.207283, 0.365969, -0.2, 110.16, 0.0132504, -0.00135901, 0.181477, 0.983305
3.65315, 47.0298, 0.15597, 0.24093, -0.2, 110.76, 0.0113819, 0.00163466, 0.119622, 0.992753
4.24041, 47.1527, 0.0907416, 0.114096, -0.2, 111.36, 0.00601717, 0.000552637, 0.056696, 0.998373
4.83162, 47.1949, 0.0394005, -0.0116976, -0.2, 111.96, -0.000416752, -3.71096e-05, -0.0058338, 0.999983
5.40809, 47.1588, 0.0033427, -0.133995, -0.2, 112.56, -0.00519461, 0.000614215, -0.0667427, 0.997757
5.95111, 47.0525, -0.0434023, -0.252181, -0.2, 113.16, -0.0112392, 0.00033882, -0.125253, 0.992061
6.44194, 46.8896, -0.0903751, -0.363603, -0.2, 113.76, -0.0179256, -0.00148456, -0.179905, 0.98352
6.86764, 46.6892, -0.128398, -0.465528, -0.2, 114.36, -0.0225862, -0.00067407, -0.229558, 0.973033
7.22415, 46.4721, -0.163678, -0.555931, -0.2, 114.96, -0.0263911, 0.000171281, -0.273128, 0.961616
7.51766, 46.2545, -0.195475, -0.634121, -0.2, 115.56, -0.0286189, 0.000896377, -0.310458, 0.950156
7.76188, 46.0445, -0.217119, -0.701119, -0.2, 116.16, -0.0295437, 0.00100774, -0.342149, 0.939181
7.97293, 45.8409, -0.235557, -0.759555, -0.194602, 116.76, -0.0276505, 0.000553006, -0.369681, 0.928747
8.16463, 45.637, -0.250764, -0.811603, -0.176181, 117.36, -0.0255774, 0.000506096, -0.393926, 0.918786
8.34679, 45.4251, -0.260087, -0.856783, -0.165818, 117.96, -0.0252357, -0.000209097, -0.414641, 0.909635
8.52569, 45.1994, -0.267515, -0.899517, -0.11525, 118.56, -0.0200591, -0.00289618, -0.434275, 0.900552
8.70413, 44.955, -0.271642, -0.929367, -0.0718939, 119.16, -0.0144153, 0.00117333, -0.447906, 0.893964
8.88551, 44.6915, -0.274208, -0.947766, -0.0431022, 119.76, -0.00107056, 0.00454299, -0.456321, 0.889803
